"","type","simulations","p1","Beta1","est_Beta1_mean","est_Beta1_sd","est_Beta1_mean_SE","cov_beta1","fit_correct","fit_set"
"1","alldata","500","0","0","0.00284318655441266","0.221853005082728","0.211332282332259","0.946","0.044","0.956"
"2","summ","500","0","0","0.0028226339555439","0.221770181785483","0.211291428544467","0.946","0.044","0.96"
"3","alldata","500","0","1","0.989007737476625","0.211179072106155","0.210813647105088","0.944","0.184","0.912"
"4","summ","500","0","1","0.989368311615066","0.211490135343298","0.210867108433487","0.942","0.184","0.912"
"5","alldata","500","0","2","1.96744042170654","0.216556640338966","0.21228555596778","0.95","0.362","0.904"
"6","summ","500","0","2","1.96779205076073","0.217167667477491","0.21230347913225","0.95","0.362","0.904"
"7","alldata","500","0.5","0","-0.010343871872712","0.22803623725027","0.232901686038815","0.962","0.034","0.942"
"8","summ","500","0.5","0","-0.0103087858521562","0.227995024633741","0.232894920779917","0.962","0.038","0.966"
"9","alldata","500","0.5","1","0.988243063542638","0.240679059764959","0.23353334005106","0.94","0.17","0.912"
"10","summ","500","0.5","1","0.988378989979141","0.240571766978186","0.233562630455395","0.942","0.17","0.912"
"11","alldata","500","0.5","2","1.99063131945226","0.233381408360328","0.235466336111755","0.948","0.406","0.922"
"12","summ","500","0.5","2","1.9899223779282","0.233319980099183","0.235373296927548","0.948","0.406","0.922"
"13","alldata","500","1","0","-0.00728547876310779","0.0640668979119483","0.0635239053869955","0.946","0.062","0.95"
"14","summ","500","1","0","-0.00728197014431999","0.0640596182826932","0.0635289012881286","0.946","0.064","0.96"
"15","alldata","500","1","1","0.997883689333942","0.0672103246348788","0.0648614254850288","0.954","0.784","0.948"
"16","summ","500","1","1","0.997933988177045","0.0668048278948642","0.0648626921050718","0.952","0.784","0.948"
"17","alldata","500","1","2","2.00068934337597","0.0708948289369296","0.0672321156315421","0.938","0.928","0.968"
"18","summ","500","1","2","2.00092803178236","0.0706084350001914","0.0672356524195902","0.938","0.928","0.968"
"19","alldata","500","2","0","3.29790218930167e-05","0.00834269783882323","0.00839500854382435","0.954","0.082","0.95"
"20","summ","500","2","0","3.41828477603623e-05","0.00834470678304594","0.00839640952598592","0.954","0.082","0.96"
"21","alldata","500","2","1","1.01531498679629","0.0122055764844907","0.011801539364424","0.734","1","1"
"22","summ","500","2","1","1.01519774445211","0.0112278548824482","0.0117994518839071","0.744","1","1"
"23","alldata","500","2","2","2.03056118348177","0.0153495254356441","0.0146725859421806","0.438","1","1"
"24","summ","500","2","2","2.03054960644659","0.0122373254840211","0.0146717959748917","0.436","1","1"
