"","type","simulations","p1","Beta1","est_Beta1_mean","est_Beta1_sd","est_Beta1_mean_SE","cov_beta1","fit_correct","fit_set"
"1","alldata","600","3","0","7.99000490404092e-06","0.00132136640673549","0.00127628205931844","0.951666666666667","0.0766666666666667","0.933333333333333"
"2","summ","600","3","0","7.81836357199437e-06","0.00132146333215337","0.00127632249013122","0.951666666666667","0.336666666666667","0.935"
"3","alldata","600","3","1","1.03352533144615","0.00606603924277853","0.00523410649464659","0","1","1"
"4","summ","600","3","1","1.03379006487806","0.00428248637530636","0.00523518219613193","0","1","1"
"5","alldata","600","3","2","2.06846251504646","0.0105606068966445","0.00938043138013897","0","1","1"
"6","summ","600","3","2","2.06862032995774","0.00671747153994016","0.00938074130058259","0","1","1"
"7","alldata","600","-0.5","0","-0.0299219996329458","0.719496390350009","0.737974939704609","0.965","0.0233333333333333","0.931666666666667"
"8","summ","600","-0.5","0","-0.0303158894147745","0.719264322318252","0.738022087291316","0.965","0.025","0.951666666666667"
"9","alldata","600","-0.5","1","1.04089083909328","0.765038305334798","0.742599773999851","0.931666666666667","0.0583333333333333","0.928333333333333"
"10","summ","600","-0.5","1","1.04085772206697","0.76487376225404","0.742674950743772","0.933333333333333","0.0583333333333333","0.94"
"11","alldata","600","-0.5","2","1.98888137350378","0.786216120392091","0.74675357013049","0.931666666666667","0.0916666666666667","0.92"
"12","summ","600","-0.5","2","1.98850827569057","0.786038035573751","0.746568615890492","0.931666666666667","0.0916666666666667","0.923333333333333"
"13","alldata","600","-1","0","-0.0351778846768592","0.665321161259905","0.645268737574578","0.953333333333333","0.03","0.936666666666667"
"14","summ","600","-1","0","-0.0353704852377603","0.665322728006846","0.645086163454386","0.953333333333333","0.03","0.956666666666667"
"15","alldata","600","-1","1","0.98932681859591","0.636387715022456","0.641520234884182","0.946666666666667","0.0816666666666667","0.96"
"16","summ","600","-1","1","0.989341150953751","0.636455456295803","0.641531761771875","0.946666666666667","0.0816666666666667","0.963333333333333"
"17","alldata","600","-1","2","1.95672423307623","0.665288778732039","0.643430979216678","0.933333333333333","0.163333333333333","0.943333333333333"
"18","summ","600","-1","2","1.95682140251931","0.665048090741277","0.643425692627725","0.931666666666667","0.163333333333333","0.945"
"19","alldata","600","-2","0","-0.0989509633802673","1.00835370247198","0.931120695642933","0.923333333333333","0.28","0.913333333333333"
"20","summ","600","-2","0","-0.0988866198448355","1.00820608148741","0.931170418365758","0.923333333333333","0.31","0.93"
"21","alldata","600","-2","1","1.00810828088793","0.971359504636965","0.926968176673165","0.95","0.428333333333333","0.933333333333333"
"22","summ","600","-2","1","1.00750076089112","0.970607417707229","0.92664564050551","0.951666666666667","0.461666666666667","0.945"
"23","alldata","600","-2","2","1.89407568696661","0.925421315965673","0.928039695843684","0.966666666666667","0.54","0.938333333333333"
"24","summ","600","-2","2","1.89358809264747","0.92529209310637","0.927803691844005","0.966666666666667","0.548333333333333","0.941666666666667"
