"","type","simulations","p1","p2","Beta1","Beta2","est_Beta1_mean","est_Beta1_sd","est_Beta1_mean_SE","est_Beta2_mean","est_Beta2_sd","est_Beta2_mean_SE","cov_beta1","cov_beta2","fit_correct","fit_set"
"1","all data","500","-3","-3","0","0","-0.4824704830975","9.43685371506292","9.6123534983104","0.746235492723218","13.8495781356404","14.1632005297207","0.95","0.95","0","0.986"
"2","summerised","500","-3","-3","0","0","-0.482118903265002","9.43385201078839","9.6113812340222","0.744227541062695","13.8442610509537","14.1617260954919","0.95","0.95","0","0.988"
"3","all data","500","-3","-3","1","2","1.61156529716064","9.42472176667847","9.56826546872257","1.34196298960331","13.8750417451136","14.1014853519766","0.956","0.96","0","0.964"
"4","summerised","500","-3","-3","1","2","1.61176083378323","9.42203868504547","9.56473210191173","1.33963032212524","13.8709038367498","14.0962896720724","0.956","0.96","0","0.972"
"5","all data","500","-3","-3","2","1","1.17259454026075","10.111482899177","9.58859068597268","1.99115687205653","14.6755335638402","14.1267099548257","0.944","0.942","0","0.962"
"6","summerised","500","-3","-3","2","1","1.17035480256939","10.1104165598096","9.58969220079293","1.99394284653242","14.6752281528424","14.1283435940554","0.944","0.942","0","0.97"
"7","all data","500","-3","-2","0","0","-0.179679722765013","12.3019373205168","13.094568195182","0.162081786766952","6.68125073438459","7.10064223921877","0.972","0.97","0","0.958"
"8","summerised","500","-3","-2","0","0","-0.178563797040345","12.2986313626056","13.0914111539367","0.161364382137778","6.67946036413554","7.09892257739952","0.972","0.97","0","0.964"
"9","all data","500","-3","-2","1","2","1.33889724981068","12.7530994126472","13.1009429639943","1.76155330519337","6.89995935044071","7.10333531449899","0.96","0.956","0","0.962"
"10","summerised","500","-3","-2","1","2","1.34019763904263","12.7591801407872","13.1050112960386","1.76149532008045","6.90391758831578","7.10554694659362","0.96","0.956","0","0.966"
"11","all data","500","-3","-2","2","1","3.52340757111972","12.3081604328306","13.0836429523614","0.0962006003188659","6.68697079591904","7.09556193373395","0.958","0.96","0","0.978"
"12","summerised","500","-3","-2","2","1","3.5211062220922","12.3046243833573","13.0848971788445","0.0976042546368278","6.68553304217729","7.09624216600483","0.958","0.96","0","0.982"
"13","all data","500","-3","-1","0","0","-0.0100321178865298","5.9735727303878","6.10558129268075","0.0576299161066651","2.2282305220377","2.29567457564737","0.952","0.962","0","0.974"
"14","summerised","500","-3","-1","0","0","-0.00919557157573957","5.97665112749914","6.10557284404889","0.0572088182160161","2.22898163186146","2.295675418668","0.952","0.962","0","0.98"
"15","all data","500","-3","-1","1","2","0.615430892757033","5.82762138057678","6.09548815275052","2.06791722178309","2.20776801601218","2.29429471715075","0.956","0.956","0","0.97"
"16","summerised","500","-3","-1","1","2","0.613027620965373","5.82642721567099","6.09342624883065","2.06827722240804","2.20839223164085","2.29351724147122","0.956","0.956","0","0.978"
"17","all data","500","-3","-1","2","1","1.77301273500829","6.41950765919217","6.0878653792902","1.02381305985047","2.33858915991714","2.29148204062775","0.948","0.946","0","0.99"
"18","summerised","500","-3","-1","2","1","1.77095547913248","6.42155597633076","6.0878769398501","1.02451486535659","2.33988252621222","2.29148409815852","0.948","0.946","0","0.99"
"19","all data","500","-3","-0.5","0","0","0.214783603068037","5.01516464883498","4.74578368252461","-0.0890632701034872","2.15314537380201","2.05894804956135","0.944","0.936","0","0.978"
"20","summerised","500","-3","-0.5","0","0","0.213183603953819","5.01416483710258","4.74433755222146","-0.0885218245563314","2.15203433488503","2.05831800819988","0.944","0.936","0","0.978"
"21","all data","500","-3","-0.5","1","2","0.831075248716317","4.90147414218806","4.70168632103807","2.05426968988592","2.1358901759201","2.04061440692747","0.938","0.942","0","0.972"
"22","summerised","500","-3","-0.5","1","2","0.829785281710394","4.89996225957375","4.70163297214615","2.05478596724419","2.13557356613245","2.04059091302809","0.938","0.942","0","0.984"
