,type,simulations,p1,p2,Beta1,Beta2,est_Beta1_mean,est_Beta1_sd,est_Beta1_mean_SE,est_Beta2_mean,est_Beta2_sd,est_Beta2_mean_SE,cov_beta1,cov_beta2,fit_correct,fit_set
1,all data,500,-3,-3,0,0,-0.482470483,9.436853715,9.612353498,0.746235493,13.84957814,14.16320053,0.95,0.95,0,0.986
2,summerised,500,-3,-3,0,0,-0.482118903,9.433852011,9.611381234,0.744227541,13.84426105,14.1617261,0.95,0.95,0,0.988
3,all data,500,-3,-3,1,2,1.611565297,9.424721767,9.568265469,1.34196299,13.87504175,14.10148535,0.956,0.96,0,0.964
4,summerised,500,-3,-3,1,2,1.611760834,9.422038685,9.564732102,1.339630322,13.87090384,14.09628967,0.956,0.96,0,0.972
5,all data,500,-3,-3,2,1,1.17259454,10.1114829,9.588590686,1.991156872,14.67553356,14.12670995,0.944,0.942,0,0.962
6,summerised,500,-3,-3,2,1,1.170354803,10.11041656,9.589692201,1.993942847,14.67522815,14.12834359,0.944,0.942,0,0.97
7,all data,500,-3,-2,0,0,-0.179679723,12.30193732,13.0945682,0.162081787,6.681250734,7.100642239,0.972,0.97,0,0.958
8,summerised,500,-3,-2,0,0,-0.178563797,12.29863136,13.09141115,0.161364382,6.679460364,7.098922577,0.972,0.97,0,0.964
9,all data,500,-3,-2,1,2,1.33889725,12.75309941,13.10094296,1.761553305,6.89995935,7.103335314,0.96,0.956,0,0.962
10,summerised,500,-3,-2,1,2,1.340197639,12.75918014,13.1050113,1.76149532,6.903917588,7.105546947,0.96,0.956,0,0.966
11,all data,500,-3,-2,2,1,3.523407571,12.30816043,13.08364295,0.0962006,6.686970796,7.095561934,0.958,0.96,0,0.978
12,summerised,500,-3,-2,2,1,3.521106222,12.30462438,13.08489718,0.097604255,6.685533042,7.096242166,0.958,0.96,0,0.982
13,all data,500,-3,-1,0,0,-0.010032118,5.97357273,6.105581293,0.057629916,2.228230522,2.295674576,0.952,0.962,0,0.974
14,summerised,500,-3,-1,0,0,-0.009195572,5.976651127,6.105572844,0.057208818,2.228981632,2.295675419,0.952,0.962,0,0.98
15,all data,500,-3,-1,1,2,0.615430893,5.827621381,6.095488153,2.067917222,2.207768016,2.294294717,0.956,0.956,0,0.97
16,summerised,500,-3,-1,1,2,0.613027621,5.826427216,6.093426249,2.068277222,2.208392232,2.293517241,0.956,0.956,0,0.978
17,all data,500,-3,-1,2,1,1.773012735,6.419507659,6.087865379,1.02381306,2.33858916,2.291482041,0.948,0.946,0,0.99
18,summerised,500,-3,-1,2,1,1.770955479,6.421555976,6.08787694,1.024514865,2.339882526,2.291484098,0.948,0.946,0,0.99
19,all data,500,-3,-0.5,0,0,0.214783603,5.015164649,4.745783683,-0.08906327,2.153145374,2.05894805,0.944,0.936,0,0.978
20,summerised,500,-3,-0.5,0,0,0.213183604,5.014164837,4.744337552,-0.088521825,2.152034335,2.058318008,0.944,0.936,0,0.978
21,all data,500,-3,-0.5,1,2,0.831075249,4.901474142,4.701686321,2.05426969,2.135890176,2.040614407,0.938,0.942,0,0.972
22,summerised,500,-3,-0.5,1,2,0.829785282,4.89996226,4.701632972,2.054785967,2.135573566,2.040590913,0.938,0.942,0,0.984
23,all data,500,-3,-0.5,2,1,1.687747406,4.722149344,4.703742183,1.100616018,2.049119155,2.041209889,0.952,0.966,0,0.972
24,summerised,500,-3,-0.5,2,1,1.68845567,4.722402289,4.703859792,1.100348376,2.048785268,2.041257577,0.952,0.966,0,0.982
25,all data,500,-3,0,0,0,-0.253393135,3.977938836,3.830228899,-0.012557227,0.487916851,0.470599309,0.95,0.944,0,0.978
26,summerised,500,-3,0,0,0,-0.253888187,3.974217824,3.828710628,-0.012567466,0.48749215,0.470413547,0.95,0.944,0,0.988
27,all data,500,-3,0,1,2,0.899643687,3.72434479,3.845028307,1.968612815,0.466906213,0.472703214,0.952,0.944,0,0.954
28,summerised,500,-3,0,1,2,0.900142456,3.723533215,3.844489607,1.968467326,0.466999144,0.472637228,0.952,0.944,0,0.962
29,all data,500,-3,0,2,1,2.343909306,3.871950862,3.809390695,1.027312765,0.478373462,0.468674011,0.952,0.954,0,0.96
30,summerised,500,-3,0,2,1,2.34451338,3.872066719,3.809776714,1.02745542,0.478525504,0.468721191,0.952,0.956,0,0.97
31,all data,500,-3,0.5,0,0,-0.242951812,3.210541829,3.188237323,-0.001884824,0.431533186,0.435437449,0.948,0.958,0,0.984
32,summerised,500,-3,0.5,0,0,-0.243413259,3.210757835,3.188574127,-0.001898826,0.431371812,0.435483174,0.948,0.958,0,0.986
33,all data,500,-3,0.5,1,2,0.808426235,3.421632531,3.238797191,1.953916406,0.474362044,0.443168402,0.95,0.932,0,0.972
34,summerised,500,-3,0.5,1,2,0.808690371,3.423028084,3.239559191,1.954582397,0.474726874,0.443272569,0.95,0.932,0,0.98
35,all data,500,-3,0.5,2,1,1.854454455,3.126585167,3.195988885,0.983461577,0.427301719,0.436295693,0.95,0.952,0,0.976
36,summerised,500,-3,0.5,2,1,1.853796673,3.124290862,3.196334247,0.983627748,0.427083039,0.436340801,0.95,0.952,0,0.986
37,all data,500,-3,1,0,0,0.004392572,0.098912695,0.101118197,0.047493173,2.714923267,2.740283694,0.948,0.938,0,0.98
38,summerised,500,-3,1,0,0,0.004387616,0.098916511,0.101115123,0.047183238,2.714588321,2.74020752,0.948,0.938,0,0.986
39,all data,500,-3,1,1,2,1.997265997,0.116621697,0.115899712,0.80940648,3.014886003,3.02568116,0,0.936,0,0.95
40,summerised,500,-3,1,1,2,1.996879447,0.116096136,0.115871991,0.808951098,3.013548447,3.024946993,0,0.934,0,0.954
41,all data,500,-3,1,2,1,0.993766974,0.112531852,0.107914649,1.884515814,2.877366425,2.856738012,0,0.94,0,0.942
42,summerised,500,-3,1,2,1,0.993943663,0.11253051,0.107927953,1.8844117,2.877999097,2.857094629,0,0.94,0,0.95
43,all data,500,-3,2,0,0,0.169570605,2.326584786,2.19284897,0.00086729,0.010955586,0.010704855,0.95,0.94,0,0.982
44,summerised,500,-3,2,0,0,0.169203627,2.326424524,2.192413201,0.000868794,0.010953064,0.010702721,0.95,0.94,0,0.984
45,all data,500,-3,2,1,2,-0.359275555,4.519710971,3.971023177,2.023785313,0.028501486,0.025069429,0.898,0.794,0,0.956
