beta_bmi,se_bmi,beta_acm,se_acm,mean_bmi
0.0854434,0.00710049,-0.02141596,0.01189085,18.44591
0.0864021,0.00173039,0.00498698,0.01288834,19.64973
0.0927369,0.00116038,-0.01750446,0.01464917,20.1927
0.091099,0.00086792,0.00736996,0.01644755,20.47968
0.0919263,0.00063746,-0.00677297,0.01542639,20.82989
0.0908117,0.00057764,0.00676454,0.016519,21.10642
0.0899137,0.00054684,-0.01861818,0.01669478,21.30445
0.089571,0.00043636,-0.01482233,0.01898744,21.52228
0.0910699,0.00038814,0.00441033,0.01656678,21.72473
0.0906513,0.00032604,0.03242196,0.0158796,21.7943
0.0910706,0.00033116,0.01724456,0.01854086,21.92171
0.0903827,0.00033129,-0.0191839,0.01760886,22.12923
0.0906731,0.00032333,-0.0013537,0.01731521,22.23897
0.0904333,0.00029399,-0.01024994,0.01639943,22.43886
0.0904546,0.00029464,-0.03368428,0.01745773,22.57598
0.0908413,0.0002732,-0.01215934,0.01746195,22.62424
0.0905294,0.00027033,0.03023812,0.02187372,22.68612
0.090046,0.00025918,-0.00440581,0.02025952,22.82709
0.090836,0.00023398,0.03945755,0.02084736,23.00125
0.0906313,0.00026477,-0.024865,0.01732048,22.97433
0.0908641,0.0002828,0.02305793,0.02001841,23.22954
0.0906062,0.00021764,-0.01833603,0.01738178,23.33993
0.0908348,0.00023863,0.01093246,0.02199242,23.32456
0.0906001,0.00022529,0.00138215,0.01788102,23.51301
0.0909268,0.00022384,-0.02492754,0.01762433,23.53594
0.0907537,0.0002022,0.03744093,0.01812909,23.67504
0.0906914,0.00021634,-0.04160201,0.01866554,23.8169
0.0906091,0.00020033,-0.02244714,0.01958915,23.84332
0.0909111,0.00021515,-0.0134405,0.01844696,23.94288
0.0907038,0.00018613,0.0173111,0.0156678,24.082
0.0906625,0.00020704,-0.00749043,0.01753069,24.15391
0.0912029,0.00019624,0.01163302,0.01788057,24.20606
0.090657,0.00020442,0.00408567,0.01660891,24.34413
0.0905727,0.00020953,0.01331238,0.02011487,24.35241
0.0908715,0.00017288,0.04574761,0.0188932,24.45142
0.0906866,0.00020212,-0.03649728,0.01909913,24.54403
0.0903915,0.00020559,0.01203489,0.01775191,24.59662
0.0907196,0.00019524,0.00053384,0.02200497,24.68645
0.0904753,0.00020013,0.00030016,0.01840006,24.74626
0.0911498,0.00020516,-0.00148288,0.01959448,24.9426
0.0907287,0.0001978,-0.0024839,0.02082489,25.03559
0.0908259,0.00020797,0.01492776,0.01742273,25.07094
0.0906208,0.0001862,0.02012881,0.01763325,25.18719
0.0905157,0.00018808,-0.00426935,0.01624507,25.26881
0.090659,0.00021151,-0.00461307,0.01892395,25.27954
0.0905357,0.00018465,-0.00160192,0.0175321,25.35241
0.090991,0.00017321,-0.01373013,0.01776864,25.45516
0.0910087,0.00020419,-0.00110756,0.01870925,25.5836
0.0903412,0.00019197,0.01558343,0.01744832,25.67278
0.090415,0.00019676,-0.00444969,0.01804642,25.74225
0.090723,0.00020534,-0.00543082,0.01929696,25.83167
0.0908129,0.00019084,0.01274809,0.02134149,25.91462
0.0908176,0.00020241,-0.05430184,0.02106302,25.99911
0.090829,0.00021067,0.00588592,0.01738992,26.15508
0.090573,0.00021213,0.00163405,0.01688268,26.1548
0.0909487,0.00022642,0.01896639,0.01946658,26.28235
0.0906228,0.00020604,-0.012777,0.01740093,26.48221
0.0905352,0.00021499,0.00591007,0.01824825,26.53333
0.0906482,0.00020802,0.0214943,0.0202394,26.63292
0.0910638,0.00021623,0.00420628,0.01640723,26.69715
0.0906388,0.0002212,-0.00309814,0.01919545,26.69626
0.0908518,0.0002306,0.013515,0.01917476,26.81836
0.0903723,0.00021517,0.01262732,0.02084709,26.9226
0.0905332,0.00022402,0.03707517,0.01631691,27.09679
0.0905941,0.00023405,-0.01161842,0.01720777,27.22687
0.0903043,0.00022137,0.00266057,0.01696439,27.32781
0.0906837,0.00025841,-0.00099457,0.01974856,27.38488
0.0905085,0.0002618,-0.0235614,0.01828867,27.55312
0.0908674,0.00024789,-0.0074637,0.01634797,27.59947
0.0905467,0.00027791,0.03497147,0.01687435,27.75383
0.0905058,0.00029192,-0.01569068,0.01887893,27.8653
0.0909798,0.00026345,0.03413585,0.01885823,28.00945
0.0906136,0.00028743,0.02614515,0.01833172,28.07633
0.0903909,0.00029771,-0.00133364,0.01613007,28.21462
0.0908341,0.00028159,0.02435929,0.01645289,28.40071
0.0908148,0.00031398,0.00080836,0.0166046,28.53262
0.0911327,0.00030391,-0.00023326,0.01649681,28.6516
0.0912159,0.00035685,0.01052187,0.02017444,28.75668
0.090707,0.00036587,0.00101833,0.01716336,28.8968
0.0902416,0.0003501,0.020846,0.0181876,29.11604
0.0909439,0.00037668,0.04463949,0.01762667,29.21744
0.0905207,0.00040252,-0.00771381,0.01638797,29.44617
0.0911349,0.0004104,-0.01027102,0.01682457,29.68327
0.0907565,0.00044769,0.03600316,0.01601518,29.79073
0.0909131,0.00049848,0.02049648,0.01573272,30.01246
0.0917402,0.00049069,0.01038455,0.01678743,30.16613
0.0907296,0.00055562,0.02050263,0.01791266,30.46619
0.0898331,0.00055031,-0.02646096,0.01649065,30.6697
